Date,Price,Open,High,Low,Change %
"May 28, 2012",1573.33,1574.09,1584.00,1571.13,-0.0001
"May 25, 2012",1573.45,1558.50,1574.57,1551.90,0.0093
"May 24, 2012",1559.00,1563.36,1579.50,1553.15,-0.0019
"May 23, 2012",1562.00,1569.19,1570.35,1535.41,-0.0044
"May 22, 2012",1568.95,1593.53,1596.03,1563.29,-0.0149
"May 21, 2012",1592.65,1593.65,1600.79,1586.80,-0.0003
"May 18, 2012",1593.09,1574.78,1598.68,1569.05,0.0121
"May 17, 2012",1574.00,1540.39,1581.70,1538.80,0.0220
"May 16, 2012",1540.05,1546.10,1553.80,1529.00,-0.0028
"May 15, 2012",1544.45,1557.15,1564.06,1541.60,-0.0080
"May 14, 2012",1556.85,1580.60,1585.89,1556.00,-0.0147
"May 11, 2012",1580.05,1593.87,1595.37,1573.90,-0.0085
"May 10, 2012",1593.66,1589.69,1602.20,1586.07,0.0027
"May 09, 2012",1589.34,1605.67,1606.64,1579.78,-0.0098
"May 08, 2012",1605.00,1638.57,1639.52,1595.55,-0.0208
"May 07, 2012",1639.15,1641.79,1644.40,1634.21,-0.0022
"May 04, 2012",1642.83,1636.00,1647.27,1626.91,0.0043
"May 03, 2012",1635.76,1653.26,1653.72,1631.17,-0.0107
"May 02, 2012",1653.50,1662.40,1663.40,1646.71,-0.0052
"May 01, 2012",1662.10,1666.75,1673.20,1658.59,-0.0014
"Apr 30, 2012",1664.36,1662.42,1666.58,1644.98,0.0014
"Apr 27, 2012",1662.05,1657.15,1667.72,1650.55,0.0031
"Apr 26, 2012",1656.90,1645.98,1662.60,1643.15,0.0074
"Apr 25, 2012",1644.70,1641.41,1646.53,1624.47,0.0023
"Apr 24, 2012",1641.00,1638.75,1649.52,1633.95,0.0014
"Apr 23, 2012",1638.70,1643.44,1644.90,1621.99,-0.0024
"Apr 20, 2012",1642.70,1643.55,1647.31,1638.95,-0.0005
"Apr 19, 2012",1643.60,1643.49,1655.00,1632.80,0.0009
"Apr 18, 2012",1642.07,1651.24,1656.05,1639.29,-0.0047
"Apr 17, 2012",1649.90,1652.90,1657.71,1635.05,-0.0013
"Apr 16, 2012",1652.10,1654.09,1657.80,1641.14,-0.0042
"Apr 13, 2012",1659.00,1675.55,1678.31,1649.51,-0.0098
"Apr 12, 2012",1675.48,1659.14,1680.20,1651.29,0.0106
"Apr 11, 2012",1657.95,1659.49,1662.90,1653.44,-0.0014
"Apr 10, 2012",1660.35,1641.13,1663.10,1632.20,0.0116
"Apr 09, 2012",1641.28,1641.44,1649.00,1627.70,0.0011
"Apr 06, 2012",1639.49,1628.95,1639.49,1628.49,0.0051
"Apr 05, 2012",1631.25,1620.36,1633.67,1620.15,0.0068
"Apr 04, 2012",1620.23,1644.64,1648.15,1612.30,-0.0153
"Apr 03, 2012",1645.33,1676.59,1681.16,1639.24,-0.0193
"Apr 02, 2012",1677.75,1668.55,1680.09,1676.20,0.0053
"Mar 30, 2012",1668.90,1661.55,1671.11,1659.91,0.0045
"Mar 29, 2012",1661.38,1661.94,1665.29,1645.39,-0.0005
"Mar 28, 2012",1662.18,1680.21,1684.41,1655.11,-0.0106
"Mar 27, 2012",1680.05,1690.30,1696.81,1679.11,-0.0059
"Mar 26, 2012",1689.98,1661.81,1694.00,1655.60,0.0167
"Mar 23, 2012",1662.26,1645.41,1666.74,1642.38,0.0106
"Mar 22, 2012",1644.85,1652.05,1658.01,1629.68,-0.0034
"Mar 21, 2012",1650.50,1651.11,1661.65,1646.91,0.0001
"Mar 20, 2012",1650.35,1666.04,1666.29,1643.29,-0.0085
"Mar 19, 2012",1664.55,1654.98,1671.40,1654.14,0.0023
"Mar 16, 2012",1660.65,1659.71,1665.01,1639.80,0.0015
"Mar 15, 2012",1658.23,1642.89,1666.79,1636.59,0.0089
"Mar 14, 2012",1643.60,1675.74,1683.45,1635.59,-0.0190
"Mar 13, 2012",1675.50,1699.66,1705.97,1662.60,-0.0147
"Mar 12, 2012",1700.53,1709.08,1714.30,1692.84,-0.0073
"Mar 09, 2012",1713.09,1700.20,1714.59,1677.84,0.0073
"Mar 08, 2012",1700.65,1685.09,1703.86,1682.85,0.0093
